"assumption","ES","gamma","n_bar","ICC_k","ICC_jk","ES_j","ES_k","ES_jk","ES_j_est","ES_k_est","ES_jk_est","cor_j","cor_k","cor_jk"
"exogeneity",0.3,0.03,30,0.25,0.01,0.670820393249937,0.3,1.5,0.672515961867344,0.299949559865772,1.50013241697431,0.442620462204447,0.522603989230173,0.144802765155616
"exogeneity",0.3,0.03,30,0.25,0.05,0.670820393249937,0.3,0.670820393249937,0.671921592128564,0.30008614373459,0.670809418335368,0.439233189221886,0.522573599253806,0.144001442957844
"exogeneity",0.3,0.03,100,0.05,0,0.670820393249937,0.670820393249937,Inf,0.673788289081011,0.670355829002085,Inf,0.514126713540869,0.637867679487357,0.165876235354554
"exogeneity",0.3,0.03,100,0.05,0.01,0.670820393249937,0.670820393249937,1.5,0.673519365776892,0.672262540057128,1.49990749520831,0.513608096632264,0.637494056729298,0.165262927636796
"exogeneity",0.3,0.03,100,0.05,0.05,0.670820393249937,0.670820393249937,0.670820393249937,0.673124789087501,0.6708449694284,0.670924424596679,0.512033442340685,0.632266681663758,0.16461005792022
"exogeneity",0.3,0.03,100,0.15,0,0.670820393249937,0.387298334620742,Inf,0.673452153105627,0.387581297217312,Inf,0.508978331334368,0.601715772786636,0.160832328636137
"exogeneity",0.3,0.03,100,0.15,0.01,0.670820393249937,0.387298334620742,1.5,0.671904033175312,0.387545847047973,1.50000129718031,0.507538662324446,0.600535912362092,0.160665659162118
"exogeneity",0.3,0.03,100,0.15,0.05,0.670820393249937,0.387298334620742,0.670820393249937,0.673679137331855,0.387147333967476,0.670904413037634,0.507417346088759,0.598346545649958,0.159122276342649
"exogeneity",0.3,0.03,100,0.25,0,0.670820393249937,0.3,Inf,0.672438050101583,0.300029796936388,Inf,0.504617472393374,0.577247579627553,0.157114105207075
"exogeneity",0.3,0.03,100,0.25,0.01,0.670820393249937,0.3,1.5,0.671842251813532,0.300325917299994,1.50038858902016,0.502772671453,0.577747376046947,0.156492857211427
"exogeneity",0.3,0.03,100,0.25,0.05,0.670820393249937,0.3,0.670820393249937,0.674081544295083,0.30016440223968,0.670903429165189,0.501372075739484,0.575813380943723,0.155393405544414
"exogeneity",0.5,0.05,30,0.05,0,1.11803398874989,1.11803398874989,Inf,1.11963424034501,1.1191313182007,Inf,0.630327269105282,0.601462600122768,0.228795290599736
"exogeneity",0.5,0.05,30,0.05,0.01,1.11803398874989,1.11803398874989,2.5,1.11930691177483,1.12052648025312,2.49921453602007,0.630126924645659,0.601151726974407,0.229050591203652
"exogeneity",0.5,0.05,30,0.05,0.05,1.11803398874989,1.11803398874989,1.11803398874989,1.12096736133669,1.12031664523341,1.11827623141623,0.629765371303385,0.599555789141559,0.228284276834455
"exogeneity",0.5,0.05,30,0.15,0,1.11803398874989,0.645497224367903,Inf,1.11914364704704,0.64626552397781,Inf,0.625503444748095,0.61265278754228,0.224755893224265
